true_positives,false_positives,true_negatives,false_negatives,total_calls,total_cost,total_revenue,missed_opportunity_cost,profit,roi,cost_per_acquisition,threshold
107,104,997,28,211,1055,10700,560,9085,8.611374407582938,9.85981308411215,0.1
101,89,1012,34,190,950,10100,680,8470,8.91578947368421,9.405940594059405,0.15000000000000002
94,81,1020,41,175,875,9400,820,7705,8.805714285714286,9.308510638297872,0.20000000000000004
84,74,1027,51,158,790,8400,1020,6590,8.341772151898734,9.404761904761905,0.25000000000000006
79,63,1038,56,142,710,7900,1120,6070,8.549295774647888,8.987341772151899,0.30000000000000004
73,54,1047,62,127,635,7300,1240,5425,8.543307086614174,8.698630136986301,0.3500000000000001
70,48,1053,65,118,590,7000,1300,5110,8.661016949152541,8.428571428571429,0.40000000000000013
62,45,1056,73,107,535,6200,1460,4205,7.859813084112149,8.629032258064516,0.45000000000000007
60,43,1058,75,103,515,6000,1500,3985,7.737864077669903,8.583333333333334,0.5000000000000001
56,36,1065,79,92,460,5600,1580,3560,7.739130434782608,8.214285714285714,0.5500000000000002
54,33,1068,81,87,435,5400,1620,3345,7.689655172413793,8.055555555555555,0.6000000000000002
49,30,1071,86,79,395,4900,1720,2785,7.050632911392405,8.061224489795919,0.6500000000000001
44,24,1077,91,68,340,4400,1820,2240,6.588235294117647,7.7272727272727275,0.7000000000000002
39,18,1083,96,57,285,3900,1920,1695,5.947368421052632,7.3076923076923075,0.7500000000000002
31,14,1087,104,45,225,3100,2080,795,3.533333333333333,7.258064516129032,0.8000000000000002
21,8,1093,114,29,145,2100,2280,-325,-2.2413793103448274,6.904761904761905,0.8500000000000002
11,4,1097,124,15,75,1100,2480,-1455,-19.4,6.818181818181818,0.9000000000000002
1,0,1101,134,1,5,100,2680,-2585,-517.0,5.0,0.9500000000000003
